Fault Type,System Fault Date & Time,Notification Date & Time,Root Cause(L-1),Root Cause(L-2),Root Cause(L-3),RestorationSystem Date,Restoration Date,Outage due to,Time to Acknowledge,Time to Resolve
Down-Link-Link,2023-12-17 13:24:13,2023-12-17 13:24:13,Others,Invalid TT,Human Error,2023-12-17 13:27:31,2023-12-17 13:30:15,F@H End Problem,0.0,6.033333333333333
Down-Link-Link,2023-06-06 21:28:59,2023-06-06 21:00:38,Others,Invalid TT,Human Error,2023-06-06 21:29:34,2023-06-06 21:30:16,F@H End Problem,-28.35,1.2833333333333334
Down-Link-Link,2021-10-19 11:12:21,2021-10-19 11:12:22,Others,Others,Others,2021-10-22 09:34:41,2021-10-19 11:57:18,F@H End Problem,0.016666666666666666,44.95
Down-Link-Link,2021-10-19 11:10:14,2021-10-19 11:10:17,Others,Others,Others,2021-10-22 09:34:17,2021-10-19 11:57:18,F@H End Problem,0.05,47.06666666666667
Down-Link-Link,2021-10-19 11:09:22,2021-10-19 11:09:22,Others,Others,Others,2021-10-22 09:34:01,2021-10-19 11:46:06,F@H End Problem,0.0,36.733333333333334
Down-Link-Link,2021-10-19 11:07:41,2021-10-19 11:07:41,Client,Others,Not Shared,2021-10-21 09:59:05,2021-10-19 12:31:37,Client End Problem,0.0,83.93333333333334
Down-Link-Link,2021-10-19 11:06:26,2021-10-19 11:06:26,Client,Others,Not Shared,2021-10-21 09:54:17,2021-10-19 13:25:28,Client End Problem,0.0,139.03333333333333
Down-Link-Link,2021-10-19 11:04:54,2021-10-19 11:04:55,Client,Others,Not Shared,2021-10-21 09:44:30,2021-10-19 13:35:09,Client End Problem,0.016666666666666666,150.25
Down-Link-Link,2021-10-19 11:03:11,2021-10-19 11:03:11,Client,Others,Not Shared,2021-10-21 09:44:05,2021-10-19 13:34:27,Client End Problem,0.0,151.26666666666668
Down-Link-Link,2021-07-06 11:54:57,2021-07-06 11:45:05,Client,Others,Not Shared,2021-07-07 08:33:00,2021-07-06 18:12:46,Client End Problem,-9.866666666666667,377.81666666666666
Down-Link-Link,2021-06-28 17:49:52,2021-06-28 17:46:56,Client,OH,Fiber Cut,2021-06-30 08:19:36,2021-06-28 18:40:27,Client End Problem,-2.933333333333333,50.583333333333336
